round,agent_id,avg_distance,label
1,malicious_1,0.8956739555797745,suspicious
1,benign_2,0.6735088285614087,benign
1,benign_1,0.6666514193681233,benign
1,benign_3,0.667831615910755,benign
2,benign_1,0.680161208663436,benign
2,benign_2,0.6781677369826663,benign
2,benign_3,0.6650194285372297,benign
2,malicious_1,0.9205744315563534,suspicious
3,benign_1,0.6746086563323533,benign
3,benign_2,0.6694673013688929,benign
3,benign_3,0.6697644013545586,benign
3,malicious_1,0.9391756464195226,suspicious
4,benign_1,0.87546471483715,benign
4,benign_2,0.8715721844129236,benign
4,benign_3,0.8630515418217769,benign
4,malicious_1,1.493731988303504,isolated
5,benign_1,1.067547260498194,benign
5,benign_2,1.068230364613874,benign
5,benign_3,1.0626363886043133,benign
5,malicious_1,2.0836725885815426,isolated
6,benign_1,1.2290492071583399,benign
6,benign_2,1.2189094819326234,benign
6,benign_3,1.2232117019693882,benign
6,malicious_1,2.5710558163979838,isolated
7,benign_1,1.3850919482136694,benign
7,benign_2,1.3767239362411958,benign
7,benign_3,1.3800054231087486,benign
7,malicious_1,3.0293454950433976,isolated
8,benign_1,1.5279238944396234,benign
8,benign_2,1.5249962740414296,benign
8,benign_3,1.519136315136186,benign
8,malicious_1,3.452730575043784,isolated
9,benign_1,1.64343034458213,benign
9,benign_2,1.6376436416660927,benign
9,benign_3,1.6368490481809859,benign
9,malicious_1,3.78604900106061,isolated
10,benign_1,1.741123059497383,benign
10,benign_2,1.7355161077652346,benign
10,benign_3,1.7374123284309404,benign
10,malicious_1,4.119421943574448,isolated
11,benign_1,1.8478031790886889,benign
11,benign_2,1.8428689628821626,benign
11,benign_3,1.8405130879978646,benign
11,malicious_1,4.4464406458419665,isolated
12,benign_1,1.9709438671229336,benign
12,benign_2,1.9625566605803657,benign
12,benign_3,1.9706639822921765,benign
12,malicious_1,4.7874849852008765,isolated
13,benign_1,2.0422784517034978,benign
13,benign_2,2.040628671751467,benign
13,benign_3,2.045499061738872,benign
13,malicious_1,5.031963331782728,isolated
14,benign_1,2.161244776997853,benign
14,benign_2,2.148552609384056,benign
14,benign_3,2.1474054121516906,benign
14,malicious_1,5.323148441253867,isolated
15,benign_1,2.2216808970346786,benign
15,benign_2,2.2261111798037834,benign
15,benign_3,2.2216068367465325,benign
15,malicious_1,5.567834220592981,isolated
16,benign_1,2.313724268844715,benign
16,benign_2,2.3049636243414997,benign
16,benign_3,2.299904669162102,benign
16,malicious_1,5.823865519412062,isolated
17,benign_1,2.3795471434667808,benign
17,benign_2,2.371516134890245,benign
17,benign_3,2.3717066806925193,benign
17,malicious_1,6.038439715999131,isolated
18,benign_1,2.465572920364174,benign
18,benign_2,2.464250524539955,benign
18,benign_3,2.4665592418076323,benign
18,malicious_1,6.290036147228203,isolated
19,benign_1,2.5317806067685313,benign
19,benign_2,2.529689125744467,benign
19,benign_3,2.535642340122734,benign
19,malicious_1,6.5090091992692685,isolated
20,benign_1,2.6098219915983707,benign
20,benign_2,2.606459107707462,benign
20,benign_3,2.6068059646825112,benign
20,malicious_1,6.736769253037649,isolated
21,benign_1,2.6890362369678935,benign
21,benign_2,2.683918944827152,benign
21,benign_3,2.686239778712976,benign
21,malicious_1,6.9838317436022,isolated
22,benign_1,2.748176687607932,benign
22,benign_2,2.7410383389550517,benign
22,benign_3,2.7477378197100193,benign
22,malicious_1,7.188704955918947,isolated
23,benign_1,2.8217627612762093,benign
23,benign_2,2.8139820265008684,benign
23,benign_3,2.820853308339538,benign
23,malicious_1,7.419081962823579,isolated
24,benign_1,2.9209266875431084,benign
24,benign_2,2.9110383671557627,benign
24,benign_3,2.919099776996021,benign
24,malicious_1,7.651867087643198,isolated
25,benign_1,3.0028358553048324,benign
25,benign_2,2.99240817386581,benign
25,benign_3,3.0030004072696914,benign
25,malicious_1,7.891237454506363,isolated
26,benign_1,3.0616693696238855,benign
26,benign_2,3.063725579713759,benign
26,benign_3,3.070692623996179,benign
26,malicious_1,8.120676899992949,isolated
27,benign_1,3.143842942009693,benign
27,benign_2,3.141969510851146,benign
27,benign_3,3.1449753638666977,benign
27,malicious_1,8.358130912286436,isolated
28,benign_1,3.2267709365542525,benign
28,benign_2,3.2172104291281243,benign
28,benign_3,3.223752127253688,benign
28,malicious_1,8.601069680750353,isolated
29,benign_1,3.296682169578157,benign
29,benign_2,3.294494200951098,benign
29,benign_3,3.295346765736534,benign
29,malicious_1,8.81537037288888,isolated
30,benign_1,3.36370313088927,benign
30,benign_2,3.364302972509677,benign
30,benign_3,3.371938835175738,benign
30,malicious_1,9.013376933968534,isolated
31,benign_1,3.4139863937737815,benign
